Year,Round,Pick,Overall,Name,Team,Position,School,Player.Code,Rush.Att,Rush.Yard,Rush.TD,Rec.Yards,Rec.TD,Rec
2010,1,22,22,Demaryius Thomas,BRONCOS,WR,Georgia Tech,1001191,1,3,0,1154,8,46
2010,1,24,24,Dez Bryant,COWBOYS,WR,Oklahoma State,1010524,0,0,0,1480,19,87
2010,2,7,39,Arrelious Benn,BUCCANEERS,WR,Illinois,1009244,23,101,2,1055,3,67
2010,2,28,60,Golden Tate,SEAHAWKS,WR,Notre Dame,1010433,25,186,2,1496,15,93
2010,3,13,77,Damian Williams,TITANS,WR,USC,1000190,2,16,0,1010,6,70
2010,3,14,78,Brandon LaFell,PANTHERS,WR,Louisiana State,1001715,2,6,0,929,8,63
2010,3,18,82,Emmanuel Sanders,STEELERS,WR,Southern Methodist,81014,1,6,0,1339,7,98
2010,3,20,84,Jordan Shipley,BENGALS,WR,Texas,75206,1,0,0,1485,13,116
2010,3,23,87,Eric Decker,BRONCOS,WR,Minnesota,1002129,11,87,1,1074,7,84
2010,3,24,88,Andre Roberts,CARDINALS,WR,Citadel,1005102,6,6,0,219,1,14
2010,3,25,89,Armanti Edwards,PANTHERS,WR,Appalachian State,NA,NA,NA,NA,NA,NA,NA
2010,3,26,90,Taylor Price,PATRIOTS,WR,Ohio,1002819,10,94,0,784,5,56
2010,4,1,99,Mardy Gilyard,RAMS,WR,Cincinnati,78426,5,16,1,1191,11,87
2010,4,3,101,Mike Williams,BUCCANEERS,WR,Syracuse,1003546,0,0,0,837,10,60
2010,4,9,107,Marcus Easley,BILLS,WR,Connecticut,1008754,1,11,0,893,8,48
2010,4,10,108,Jacoby Ford,RAIDERS,WR,Clemson,1000764,18,122,2,779,6,56
2010,5,25,156,David Reed,RAVENS,WR,Utah,1019100,4,4,0,1188,5,81
2010,5,28,159,Riley Cooper,EAGLES,WR,Florida,1001153,1,14,0,961,9,51
2010,5,34,165,Kerry Meier,FALCONS,WR,Kansas,1001597,2,-2,0,985,8,102
2010,6,8,177,Carlton Mitchell,BROWNS,WR,South Florida,1003351,0,0,0,706,4,40
2010,6,22,191,Dezmon Briscoe,BENGALS,WR,Kansas,1009439,2,18,0,1402,15,92
2010,6,26,195,Antonio Brown,STEELERS,WR,Central Michigan,1008577,44,350,3,1198,9,110
2010,6,29,198,David Gettis,PANTHERS,WR,Baylor,1000326,0,0,0,675,3,52
2010,6,37,206,Kyle Williams,49ERS,WR,Arizona State,1000129,5,73,0,815,8,57
2010,7,12,219,Terrence Austin,TEAM,WR,UCLA,1000630,13,90,0,460,1,53
2010,7,15,222,Marc Mariani,TITANS,WR,Montana,NA,NA,NA,NA,NA,NA,NA
2010,7,48,255,Timothy Toone,LIONS,WR,Weber State,NA,NA,NA,NA,NA,NA,NA
2011,1,4,4,A.J. Green,BENGALS,WR,Georgia,NA,NA,NA,NA,963,8,56
2011,1,6,6,Julio Jones,FALCONS,WR,Alabama,1015262,8,135,2,1133,7,78
2011,1,26,26,Jonathan Baldwin,CHIEFS,WR,Pittsburgh,1018008,1,61,0,1111,8,57
2011,2,12,44,Titus Young,LIONS,WR,Boise State,1008283,14,94,1,1215,9,71
2011,2,26,58,Torrey Smith,RAVENS,WR,Maryland,1009721,9,7,0,1055,12,67
2011,2,27,59,Greg Little,BROWNS,WR,North Carolina,1010085,59,300,2,99,1,13
2011,2,32,64,Randall Cobb,PACKERS,WR,Kentucky,1016760,55,424,5,1017,7,84
2011,3,14,78,Austin Pettis,RAMS,WR,Boise State,1008301,0,0,0,951,10,71
2011,3,15,79,Leonard Hankerson,TEAM,WR,Miami (FL),1009813,0,0,0,1156,13,72
2011,3,18,82,Vincent Brown,CHARGERS,WR,San Diego State,1010867,1,-13,0,1352,10,69
2011,3,19,83,Jerrel Jernigan,GIANTS,WR,Troy,1011498,40,266,1,1101,4,71
2011,4,10,107,Kris Durham,SEAHAWKS,WR,Georgia,NA,NA,NA,NA,NA,NA,NA
2011,4,14,111,Edmond Gates,DOLPHINS,WR,Abilene Christian,NA,NA,NA,NA,NA,NA,NA
2011,4,15,112,Greg Salas,RAMS,WR,Hawaii,1001251,0,0,0,1889,14,119
2011,4,17,114,Cecil Shorts,JAGUARS,WR,Mount Union,NA,NA,NA,NA,NA,NA,NA
2011,4,26,123,Tandon Doss,RAVENS,WR,Indiana,1016575,14,127,1,962,5,77
2011,5,1,132,Kealoha Pilares,PANTHERS,WR,Hawaii,1009116,0,0,0,1306,15,88
2011,5,17,148,Denarius Moore,RAIDERS,WR,Tennessee,1011223,7,82,1,981,9,47
2011,5,22,153,Jeremy Kerley,JETS,WR,Texas Christian,1011291,18,97,2,575,10,56
2011,5,24,155,Niles Paul,TEAM,WR,Nebraska,1010098,3,48,1,796,4,40
2011,6,2,167,Ryan Whelan,BENGALS,WR,Stanford,NA,NA,NA,NA,NA,NA,NA
2011,6,11,176,Dwayne Harris,COWBOYS,WR,East Carolina,1000924,16,104,0,1123,10,101
2011,6,13,178,Aldrick Robinson,TEAM,WR,Southern Methodist,1011009,0,0,0,1301,14,65
2011,6,17,182,Ronald Johnson,49ERS,WR,USC,1010992,5,25,0,692,8,64
2011,7,24,227,Scotty McKnight,JETS,WR,Colorado,1000815,0,2,1,893,6,76
2011,7,33,236,Stephen Burton,VIKINGS,WR,West Texas A&M,NA,NA,NA,NA,NA,NA,NA
2011,7,38,241,David Ausberry,RAIDERS,WR,USC,1003361,2,14,0,252,4,20
2011,7,46,249,Demarco Sampson,CARDINALS,WR,San Diego State,NA,NA,NA,NA,NA,NA,NA
2012,1,5,5,Justin Blackmon,JAGUARS,WR,Oklahoma State,1017825,4,77,1,1782,20,111
2012,1,13,13,Michael Floyd,CARDINALS,WR,Notre Dame,1017708,2,13,1,1147,9,100
2012,1,20,20,Kendall Wright,TITANS,WR,Baylor,1015535,10,72,0,1663,14,108
2012,1,30,30,A.J. Jenkins,49ERS,WR,Illinois,1016547,5,26,0,1276,8,90
2012,2,1,33,Brian Quick,RAMS,WR,Appalachian State,1012197,0,0,0,110,1,3
