"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"2",85455,5,"Allen","Alex","SR","RB",186,877,8,1,13,0,0,1,123,0,18
"3",1030812,5,"Bowers","Giorgio","FR","RB",8,27,0,0,0,0,0,0,0,0,0
"4",1000023,5,"Brown","Curtis","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"5",1015201,5,"Burney","Nate","SR","RB",109,467,0,0,0,0,0,0,33,0,7
"6",1007905,5,"Carter","Jalil","SR","WR",2,28,0,0,0,0,0,0,412,2,30
"9",1022884,5,"Dillard","Jerrod","FR","WR",0,0,0,0,0,0,0,0,18,0,1
"11",1022881,5,"Frieson","Dee","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"12",1030836,5,"Hall","Richard","FR","TE",0,0,0,0,0,0,0,0,141,1,15
"13",1015226,5,"Ladrach","Rhyne","SO","TE",0,0,0,0,0,0,0,0,31,0,3
"14",1022880,5,"LaFrance","Jeremy","SR","WR",1,10,1,0,0,0,0,0,534,6,43
"15",1015212,5,"Martin","Dale","JR","RB",1,-4,0,0,0,0,0,0,0,0,0
"16",1022879,5,"Meriwether","Anthony","SO","WR",0,0,0,0,0,0,0,0,27,0,5
"17",1022859,5,"Nicely","Patrick","SO","QB",61,-125,1,336,1753,10,13,166,13,0,1
"19",1030809,5,"Potts","Dylan","FR","QB",4,20,0,0,0,0,0,0,0,0,0
"20",1007934,5,"Pride II","Gary","JR","WR",7,44,0,1,0,0,0,0,182,1,22
"23",1007915,5,"Rodgers","Matt","JR","QB",2,24,0,11,95,2,1,7,0,0,0
"25",1030819,5,"Russell","Antoine","FR","WR",1,7,0,0,0,0,0,0,221,1,13
"27",1030818,5,"Sconiers","Keith","FR","WR",0,0,0,0,0,0,0,0,54,0,8
"30",1000070,8,"Alexander","Earl","SR","WR",0,0,0,0,0,0,0,0,90,0,7
"32",1022908,8,"Bell","Kenny","FR","WR",0,0,0,0,0,0,0,0,26,0,2
"33",1015267,8,"Billingsley","Undra","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"35",1030859,8,"Buck","Hardie","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"37",1000072,8,"Dial","Preston","SR","TE",0,0,0,0,0,0,0,0,264,3,25
"39",1030866,8,"Fowler","Jalston","FR","RB",14,111,1,0,0,0,0,0,0,0,0
"40",1007964,8,"Gibson","Brandon","JR","WR",0,0,0,0,0,0,0,0,39,0,4
"41",1007945,8,"Goode","Demetrius","JR","RB",34,140,1,0,0,0,0,0,17,0,1
"43",1007938,8,"Hanks","Darius","JR","WR",2,7,0,0,0,0,0,0,456,3,32
"44",1030846,8,"Howell","Ben","SO","RB",5,11,0,0,0,0,0,0,0,0,0
"45",1015238,8,"Ingram","Mark","JR","RB",158,875,13,0,0,0,0,0,282,1,21
"47",1015262,8,"Jones","Julio","JR","WR",8,135,2,0,0,0,0,0,1133,7,78
"49",1022896,8,"Lacy","Eddie","FR","RB",56,406,6,0,0,0,0,0,18,0,2
"52",1007949,8,"Maze","Marquis","JR","WR",3,15,0,1,19,1,0,1,557,3,38
"54",1022888,8,"McCarron","A.J.","FR","QB",6,-10,0,48,389,3,0,30,0,0,0
"55",1000032,8,"McElroy","Greg","SR","QB",60,-12,1,313,2987,20,5,222,0,0,0
"56",1022912,8,"Norwood","Kevin","FR","WR",0,0,0,0,0,0,0,0,56,1,3
"58",1022892,8,"Richardson","Trent","SO","RB",112,700,6,0,0,0,0,0,266,4,23
"60",1015235,8,"Smelley","Brad","JR","TE",0,0,0,0,0,0,0,0,55,0,6
"63",1030850,8,"Tinker","Nick","FR","RB",4,9,0,0,0,0,0,0,0,0,0
"64",1007965,8,"Underwood","Chris","SO","TE",0,0,0,0,0,0,0,0,36,1,3
"67",1015265,8,"Williams","Michael","SO","TE",0,0,0,0,0,0,0,0,100,1,8
"69",1015272,9,"Accursio","Sam","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"71",1000098,9,"Anderson","Jeffery","SR","TE",0,0,0,0,0,0,0,0,407,4,32
"72",1022941,9,"Bento","Joe","SO","QB",1,1,0,2,0,0,0,0,0,0,0
"73",1022924,9,"Borne","Daniel","SR","RB",76,321,4,0,0,0,0,0,134,1,11
"74",1003878,9,"Brooks","Justin","SR","RB",40,169,0,0,0,0,0,0,27,0,6
"75",1015306,9,"Carter","Roddell","SR","WR",0,0,0,0,0,0,0,0,133,1,7
"76",1007971,9,"Ellis","Bryan","JR","QB",25,29,2,410,2937,25,12,230,1,0,1
"77",1000089,9,"Forrest","Frantrell","SR","WR",9,24,0,0,0,0,0,0,555,4,38
"78",1030886,9,"Franklin","Greg","FR","RB",11,53,0,0,0,0,0,0,48,0,5
"79",1022920,9,"Hearn","Patrick","SO","WR",3,11,0,0,0,0,0,0,536,4,35
"82",1015271,9,"Isabelle","David","SO","QB",73,396,4,50,264,3,2,23,0,0,0
"83",1000084,9,"Jones","Mike","SR","WR",2,-8,0,1,0,0,0,0,531,7,38
"86",1022921,9,"Moore","Freddie","FR","WR",1,-1,0,0,0,0,0,0,0,0,0
"91",1030887,9,"Shed","Pat","JR","RB",157,847,3,0,0,0,0,0,471,4,47
"92",1030901,9,"Smith","Nolen","FR","WR",0,0,0,0,0,0,0,0,5,0,1
"96",1030882,9,"Williams","Jackie","FR","WR",12,45,1,0,0,0,0,0,327,3,30
"97",1007973,9,"Wright","Mario","SR","WR",0,0,0,0,0,0,0,0,21,0,1
"99",1030910,28,"Bell","George","JR","WR",0,0,0,0,0,0,0,0,84,0,9
"102",1022984,28,"Coyle","Christopher","FR","TE",0,0,0,0,0,0,0,0,0,0,0
"108",1022971,28,"Kohl","Trevor","JR","TE",0,0,0,0,0,0,0,0,30,0,2
"109",1030916,28,"Lewis","Deantre","FR","RB",92,539,4,0,0,0,0,0,370,2,23
"111",1022962,28,"Marshall","Cameron","SO","RB",150,787,9,0,0,0,0,0,227,1,21
"113",1030934,28,"Middlebrooks","Kyle","FR","WR",17,82,1,0,0,0,0,0,86,0,13
"114",1022965,28,"Miles","Jamal","SO","WR",27,63,2,1,54,0,0,1,203,4,25
"115",1015327,28,"Morrison","James","SO","RB",18,66,0,0,0,0,0,0,34,0,3
"116",1022956,28,"Osweiler","Brock","SO","QB",38,124,1,109,797,5,0,62,0,0,0
"118",1010663,28,"Pflugrad","Aaron","JR","WR",1,3,0,0,0,0,0,0,329,2,29
"119",1015357,28,"Pickens","A.J.","SO","WR",0,0,0,0,0,0,0,0,57,0,3
"120",1015329,28,"Robinson","Gerell","JR","WR",0,0,0,0,0,0,0,0,387,5,29
"121",1030919,28,"Robinson","R.J.","SO","RB",2,7,0,0,0,0,0,0,-2,0,1
"123",1008044,28,"Simpson","T.J.","JR","WR",0,0,0,0,0,0,0,0,481,0,29
"124",1015328,28,"Skorupka","Ryan","SR","TE",0,0,0,0,0,0,0,0,0,0,0
"125",1000137,28,"Smith","Brandon","SR","WR",0,0,0,0,0,0,0,0,9,0,1
"127",1008038,28,"Szakacsy","Samson","JR","QB",3,-1,0,17,52,0,1,8,0,0,0
"128",1008030,28,"Taylor","Kerry","SR","WR",0,0,0,0,0,0,0,0,699,3,54
"129",1009843,28,"Threet","Steven","JR","QB",59,19,2,336,2534,18,16,208,0,0,0
"132",1030908,28,"Willie","Mike","JR","WR",0,0,0,0,0,0,0,0,442,6,36
"134",1015363,29,"Antolin","Keola","JR","RB",143,668,7,0,0,0,0,0,204,2,28
"135",1023019,29,"Baucus","Jack","FR","TE",0,0,0,0,0,0,0,0,22,1,4
"136",1008053,29,"Beirne","Bryson","SO","QB",1,-4,0,5,33,1,0,5,0,0,0
"138",1022994,29,"Butler","Kylan","FR","RB",2,12,0,0,0,0,0,0,0,0,0
"139",1023021,29,"Cobb","Travis","SR","WR",6,40,0,0,0,0,0,0,290,1,26
"140",1015395,29,"Criner","Juron","JR","WR",8,66,0,0,0,0,0,0,1244,11,83
"141",1023004,29,"Crump","Gino","JR","WR",0,0,0,0,0,0,0,0,39,0,4
"143",1015396,29,"Douglas","David","JR","WR",2,10,1,0,0,0,0,0,515,5,52
"144",1009818,29,"Foles","Nick","JR","QB",35,-113,1,426,3191,20,10,286,0,0,0
"145",1008056,29,"Grigsby","Nic","SR","RB",118,533,8,0,0,0,0,0,189,1,25
"147",1022997,29,"Jenkins","Daniel","FR","RB",8,26,0,0,0,0,0,0,0,0,0
"151",1023020,29,"Miller","Terrence","SO","TE",2,13,0,0,0,0,0,0,345,0,29
"152",1022991,29,"Morrison","Richard","FR","WR",1,0,0,0,0,0,0,0,188,0,19
"153",1015365,29,"Nwoko","Greg","SO","RB",57,270,3,0,0,0,0,0,39,0,6
"155",1008069,29,"Roberts","David","JR","WR",1,9,0,0,0,0,0,0,476,2,43
"156",1015374,29,"Scott","Matt","JR","QB",35,135,0,93,776,4,2,66,0,0,0
"157",1000180,29,"Simmons","A.J.","SR","TE",0,0,0,0,0,0,0,0,92,0,8
"159",1008068,29,"Veal","Devin","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"161",1008054,29,"Wright","William","JR","WR",2,31,0,0,0,0,0,0,294,2,25
"163",1015405,30,"Aplin","Ryan","SO","QB",138,477,11,407,2934,21,11,249,0,0,0
"164",1023039,30,"Austin","Shederick","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"165",1015142,30,"Blake","Jeff","SR","TE",0,0,0,0,0,0,0,0,23,1,3
"166",1023026,30,"Butterfield","Phillip","FR","QB",27,154,1,26,114,1,1,13,11,1,2
"168",1031003,30,"Fleming","R.J.","FR","WR",9,53,0,0,0,0,0,0,78,0,10
"169",1031009,30,"Frampton","Dwayne","JR","WR",14,12,0,2,4,1,0,1,738,6,69
"171",1023038,30,"Henderson","Lucious","SR","WR",2,10,0,0,0,0,0,0,37,0,6
"173",1008084,30,"Lawson","Derek","JR","RB",105,500,4,0,0,0,0,0,154,1,15
"175",1023029,30,"McCants","Carlos","FR","WR",0,0,0,0,0,0,0,0,169,0,10
"176",1015420,30,"Murry","Kedric","SO","TE",0,0,0,0,0,0,0,0,77,1,9
"177",1015412,30,"Muse","Allen","SO","WR",1,2,0,0,0,0,0,0,635,5,42
"181",1008086,30,"Robertson","Jermaine","JR","RB",69,348,5,0,0,0,0,0,20,0,3
"182",1015113,30,"Robinson","Anthony","SR","WR",5,6,1,0,0,0,0,0,336,2,35
"184",1015406,30,"Smith","Andre","SO","QB",0,0,0,0,0,0,0,0,39,0,6
"185",1015411,30,"Stockemer","Taylor","SO","WR",0,0,0,0,0,0,0,0,560,5,34
"186",1030988,30,"Thornton","Sirgregory","FR","RB",38,258,1,0,0,0,0,0,98,1,12
"189",1008102,30,"White","Jonathan","SR","WR",0,0,0,0,0,0,0,0,12,0,1
"191",1015441,31,"Adams","Joe","JR","WR",6,32,0,0,0,0,0,0,813,6,50
"195",1015458,31,"Childs","Greg","JR","WR",0,0,0,0,0,0,0,0,659,6,46
"196",1000228,31,"Cleveland","Ben","SR","TE",0,0,0,0,0,0,0,0,24,1,4
"197",1015438,31,"Curtis","De'Anthony","JR","WR",0,0,0,0,0,0,0,0,17,0,2
"198",1023085,31,"Davis","Knile","SO","RB",204,1322,13,0,0,0,0,0,136,1,19
"200",1015457,31,"Gragg","Chris","SO","TE",0,0,0,0,0,0,0,0,171,2,8
"201",1010976,31,"Green","Broderick","JR","RB",104,365,3,0,0,0,0,0,42,0,6
"203",1023058,31,"Hamilton","Cobi","SO","WR",0,0,0,0,0,0,0,0,630,6,32
"205",1031021,31,"Herndon","Javontee","FR","WR",0,0,0,0,0,0,0,0,32,0,2
"207",1031022,31,"Horton","Julian","FR","WR",0,0,0,0,0,0,0,0,85,0,4
"208",1031055,31,"Humphrey","Maudrecus","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"210",1015445,31,"Johnson","Dennis","JR","RB",9,83,1,0,0,0,0,0,0,0,0
"211",1009844,31,"Mallett","Ryan","JR","QB",44,-74,4,411,3869,32,12,266,0,0,0
"212",1023061,31,"Mitchell","Brandon","FR","QB",2,-1,0,3,16,0,0,1,0,0,0
"216",1023089,31,"Ray","Lance","FR","WR",0,0,0,0,0,0,0,0,6,0,1
"218",1023092,31,"Tate","Austin","FR","TE",0,0,0,0,0,0,0,0,0,0,0
"219",1008109,31,"Tucker","Austin","JR","WR",1,-6,0,0,0,0,0,0,11,0,1
"222",1023068,31,"Watkins","Ronald","SO","RB",1,5,0,0,0,0,0,0,0,0,0
"223",1008123,31,"Williams","D.J.","SR","TE",0,0,0,0,0,0,0,0,627,4,54
"224",1015456,31,"Wilson","Tyler","SO","QB",4,-24,0,51,453,4,3,34,0,0,0
"225",1023063,31,"Wingo, Jr.","Ronnie","SO","RB",41,253,1,0,0,0,0,0,274,4,27
"228",1015446,31,"Wright","Jarius","JR","WR",1,9,0,0,0,0,0,0,788,5,42
"229",1015492,37,"Adams","Darvin","JR","WR",0,0,0,0,0,0,0,0,963,7,52
