Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec
2010,1,22,22,Demaryius Thomas,BRONCOS,WR,Georgia Tech,1154,8,46
2010,1,24,24,Dez Bryant,COWBOYS,WR,Oklahoma State,1480,19,87
2010,2,7,39,Arrelious Benn,BUCCANEERS,WR,Illinois,1055,3,67
2010,2,28,60,Golden Tate,SEAHAWKS,WR,Notre Dame,1496,15,93
2010,3,13,77,Damian Williams,TITANS,WR,USC,1010,6,70
2010,3,14,78,Brandon LaFell,PANTHERS,WR,Louisiana State,929,8,63
2010,3,18,82,Emmanuel Sanders,STEELERS,WR,Southern Methodist,1339,7,98
2010,3,20,84,Jordan Shipley,BENGALS,WR,Texas,1485,13,116
2010,3,23,87,Eric Decker,BRONCOS,WR,Minnesota,1074,7,84
2010,3,24,88,Andre Roberts,CARDINALS,WR,Citadel,219,1,14
2010,3,25,89,Armanti Edwards,PANTHERS,WR,Appalachian State,NA,NA,NA
2010,3,26,90,Taylor Price,PATRIOTS,WR,Ohio,784,5,56
2010,4,1,99,Mardy Gilyard,RAMS,WR,Cincinnati,1191,11,87
2010,4,3,101,Mike Williams,BUCCANEERS,WR,Syracuse,837,10,60
2010,4,9,107,Marcus Easley,BILLS,WR,Connecticut,893,8,48
2010,4,10,108,Jacoby Ford,RAIDERS,WR,Clemson,779,6,56
2010,5,25,156,David Reed,RAVENS,WR,Utah,1188,5,81
2010,5,28,159,Riley Cooper,EAGLES,WR,Florida,961,9,51
2010,5,34,165,Kerry Meier,FALCONS,WR,Kansas,985,8,102
2011,1,4,4,A.J. Green,BENGALS,WR,Georgia,963,8,56
2011,1,6,6,Julio Jones,FALCONS,WR,Alabama,1133,7,78
2011,1,26,26,Jonathan Baldwin,CHIEFS,WR,Pittsburgh,1111,8,57
2011,2,12,44,Titus Young,LIONS,WR,Boise State,1215,9,71
2011,2,26,58,Torrey Smith,RAVENS,WR,Maryland,1055,12,67
2011,2,27,59,Greg Little,BROWNS,WR,North Carolina,99,1,13
2011,2,32,64,Randall Cobb,PACKERS,WR,Kentucky,1017,7,84
2011,3,14,78,Austin Pettis,RAMS,WR,Boise State,951,10,71
2011,3,15,79,Leonard Hankerson,TEAM,WR,Miami (FL),1156,13,72
2011,3,18,82,Vincent Brown,CHARGERS,WR,San Diego State,1352,10,69
2011,3,19,83,Jerrel Jernigan,GIANTS,WR,Troy,1101,4,71
2011,4,10,107,Kris Durham,SEAHAWKS,WR,Georgia,659,3,32
2011,4,14,111,Edmond Gates,DOLPHINS,WR,Abilene Christian,702,5,49
2011,4,15,112,Greg Salas,RAMS,WR,Hawaii,1889,14,119
2011,4,17,114,Cecil Shorts,JAGUARS,WR,Mount Union,1196,18,70
2011,4,26,123,Tandon Doss,RAVENS,WR,Indiana,962,5,77
2011,5,1,132,Kealoha Pilares,PANTHERS,WR,Hawaii,1306,15,88
2011,5,17,148,Denarius Moore,RAIDERS,WR,Tennessee,981,9,47
2011,5,22,153,Jeremy Kerley,JETS,WR,Texas Christian,575,10,56
2011,5,24,155,Niles Paul,TEAM,WR,Nebraska,796,4,40
2012,1,5,5,Justin Blackmon,JAGUARS,WR,Oklahoma State,1782,20,111
2012,1,13,13,Michael Floyd,CARDINALS,WR,Notre Dame,1147,9,100
2012,1,20,20,Kendall Wright,TITANS,WR,Baylor,1663,14,108
