"Link","Name","Pos","Year","College","RAS","AllTime"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=8991'>Link</a>","Joe Webb","WR","2010","Alabama Birmingham","9.99","10.00"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=12874'>Link</a>","Moritz Boehringer","WR","2016","International","9.98","9.99"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=18243'>Link</a>","Chase Claypool","WR","2020","Notre Dame","9.98","9.99"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=9456'>Link</a>","Julio Jones","WR","2011","Alabama","9.92","9.97"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=11742'>Link</a>","Breshad Perriman","WR","2015","Central Florida","9.95","9.96"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=21555'>Link</a>","Christian Watson","WR","2022","North Dakota State","9.96","9.96"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=11130'>Link</a>","Cody Latimer","WR","2014","Indiana","9.93","9.95"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=11306'>Link</a>","Jeff Janis","WR","2014","Saginaw Valley State","9.93","9.95"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=19621'>Link</a>","Miles Boykin","WR","2019","Notre Dame","9.94","9.95"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='http://RAS.football/ras-information/?PlayerID=9150'>Link</a>","Scott Long","WR","2010","Louisville","9.92","9.94"
